Date,Open,High,Low,Close,Adj Close,Volume
61,43.74,43.8,43.28,43.43,43.43,1125573.0
62,43.43,43.6,43.29,43.43,43.43,957841.0
63,43.35,43.55,42.86,43.08,43.08,1041957.0
64,42.83,43.24,42.68,42.79,42.79,1043155.0
65,42.79,42.84,42.14,42.49,42.49,1045553.0
66,42.58,43.03,42.49,42.77,42.77,715324.0
67,42.47,43.05,42.44,43.02,43.02,572107.0
68,43.08,43.65,42.88,43.51,43.51,794664.0
69,43.6,44.13,43.35,44.05,44.05,805473.0
71,44.09,44.29,43.78,43.87,43.87,626453.0
73,43.79,44.09,43.47,43.73,43.73,598220.0
76,43.49,44.03,43.44,43.8,43.8,671328.0
78,43.78,44.85,43.71,44.77,44.77,852187.0
80,44.74,45.25,44.6,45.09,45.09,794244.0
82,45.3,45.52,44.6,45.05,45.05,812276.0
84,45.2,45.95,45.12,45.8,45.8,761318.0
87,45.85,46.05,45.49,45.87,45.87,811388.0
89,45.8,46.02,45.25,45.7,45.7,724474.0
91,45.77,45.85,45.17,45.55,45.55,759289.0
95,45.9,46.2,45.39,45.84,45.84,731368.0
97,45.8,46.04,45.25,45.74,45.74,680398.0
98,45.89,46.01,45.5,45.8,45.8,618800.0
101,45.87,46.5,45.32,46.43,46.43,11862926.0
103,46.46,46.7,46.05,46.46,46.46,9783009.0
104,46.75,46.79,45.58,45.87,45.87,7530860.0
105,45.57,46.1,44.87,45.4,45.4,8316273.0
106,45.47,45.67,44.25,44.42,44.42,9745644.0
107,44.58,44.84,43.78,43.84,43.84,12933453.0
108,44.05,44.32,43.8,43.94,43.94,9982009.0
109,43.78,44.02,43.4,43.68,43.68,8124269.0
110,43.6,44.02,43.36,43.98,43.98,7213780.0
111,44.03,44.22,43.64,43.78,43.78,5858333.0
112,43.8,43.98,43.6,43.84,43.84,6873121.0
113,44.13,44.64,44.09,44.4,44.4,8017376.0
114,44.76,44.8,44.38,44.53,44.53,5635958.0
115,44.65,44.84,44.6,44.7,44.7,5215780.0
116,44.73,45.21,44.69,45.11,45.11,5812181.0
117,44.98,45.5,44.7,45.26,45.26,7084209.0
118,45.46,45.71,44.55,44.68,44.68,6110483.0
119,44.39,44.52,43.64,43.74,43.74,6883510.0
120,44.1,44.49,43.87,44.4,44.4,6510282.0
121,44.49,44.55,44.08,44.44,44.44,5080115.0
122,44.5,44.56,43.91,44.11,44.11,4850545.0
123,43.8,43.95,43.28,43.6,43.6,6818973.0
124,43.78,44.13,43.45,43.68,43.68,6094100.0
125,44.15,44.69,44.09,44.44,44.44,5522872.0
126,44.4,45.18,44.3,45.08,45.08,6872521.0
127,44.96,45.8,44.9,45.39,45.39,4762233.0
128,45.6,45.87,45.05,45.32,45.32,428171.0
129,45.3,45.6,44.87,45.08,45.08,3216680.0
130,45.03,45.32,44.7,45.09,45.09,3230666.0
131,45.15,45.22,44.53,44.85,44.85,2463334.0
132,44.83,44.89,44.25,44.5,44.5,3236260.0
133,44.68,44.83,44.34,44.41,44.41,2212984.0
134,44.6,44.67,43.89,44.54,44.54,2332065.0
135,44.2,44.7,43.96,44.37,44.37,2423574.0
136,44.4,44.5,43.62,43.84,43.84,2285711.0
137,43.78,44.04,43.44,43.78,43.78,2532065.0
138,43.44,43.78,43.04,43.45,43.45,2587409.0
139,43.59,44.03,43.4,43.65,43.65,2217180.0
140,43.6,43.8,43.08,43.41,43.41,2119278.0
141,43.08,43.41,42.47,42.6,42.6,2704893.0
142,42.22,43.16,42.13,42.54,42.54,2776211.0
143,43.04,43.21,42.36,42.77,42.77,2295102.0
144,43.27,43.59,42.58,43.01,43.01,2324972.0
145,43.05,43.15,42.28,42.58,42.58,2275821.0
146,42.43,42.98,42.3,42.69,42.69,2336960.0
147,42.69,43.04,42.32,42.78,42.78,2340156.0
148,43.2,43.93,43.09,43.79,43.79,2474323.0
149,44.16,44.6,43.66,43.8,43.8,2900098.0
150,43.86,44.04,43.44,43.8,43.8,2520577.0
151,44.01,44.03,43.6,43.8,43.8,1520178.0
152,44.1,44.78,43.98,44.49,44.49,1768030.0
153,44.43,44.53,43.68,43.84,43.84,1826271.0
154,43.8,44.35,43.48,44.2,44.2,1805493.0
155,44.25,44.32,43.78,43.93,43.93,1426352.0
156,43.78,43.93,43.45,43.8,43.8,1502276.0
157,43.75,44.64,43.68,44.61,44.61,1509069.0
158,44.41,44.76,44.03,44.27,44.27,1544653.0
159,44.5,44.57,43.78,44.04,44.04,1396202.0
160,44.05,44.32,43.88,43.99,43.99,1125573.0
161,44.16,44.8,43.96,44.73,44.73,1138340.0
162,44.8,45.27,44.6,45.24,45.24,1396302.0
163,45.27,45.78,44.99,45.08,45.08,1334664.0
164,45.35,45.61,44.87,45.38,45.38,1133365.0
165,45.58,45.62,44.87,45.03,45.03,1260578.0
166,45.05,45.37,44.69,45.2,45.2,1104853.0
167,45.36,45.42,44.69,45.11,45.11,980118.0
168,45.3,45.35,44.09,44.54,44.54,1333365.0
170,44.78,45.29,44.15,45.11,45.11,1309688.0
171,45.1,45.31,44.38,44.79,44.79,1121297.0
172,44.76,44.83,43.89,44.27,44.27,1479199.0
173,44.36,44.82,43.84,44.34,44.34,1336442.0
174,44.73,44.8,43.78,43.83,43.83,1102097.0
175,43.54,43.84,43.28,43.42,43.42,1294004.0
176,43.48,43.53,42.47,42.61,42.61,1333565.0
177,42.77,43.2,42.16,42.61,42.61,1215183.0
178,43.08,43.6,42.47,43.03,43.03,1334264.0
179,43.27,43.28,42.15,42.69,42.69,1068910.0
180,42.79,43.04,42.15,42.49,42.49,1249789.0
181,43.05,43.78,42.68,43.5,43.5,1774144.0
182,43.99,44.86,43.78,44.56,44.56,1736661.0
183,44.8,44.9,44.29,44.53,44.53,1051647.0
184,44.69,44.83,44.05,44.52,44.52,1063335.0
185,44.95,45.15,44.64,45.1,45.1,1036542.0
186,45.1,45.79,44.98,45.4,45.4,1292406.0
187,45.44,45.71,45.05,45.26,45.26,1154044.0
188,45.36,45.67,44.83,45.4,45.4,1049399.0
189,45.42,45.6,44.84,45.03,45.03,976043.0
190,44.96,45.25,44.73,45.09,45.09,8380910.0
191,49.43,50.8,48.98,49.76,49.76,5380493.0
192,49.48,50.12,48.87,48.94,48.94,10354238.0
193,49.25,49.26,47.71,48.02,48.02,13213775.0
194,48.24,48.65,47.94,48.43,48.43,11254537.0
195,48.48,49.0,48.33,48.61,48.61,9346245.0
196,48.85,49.21,48.48,48.79,48.79,8180612.0
197,48.79,49.0,48.43,48.96,48.96,6805985.0
198,49.09,49.3,48.6,48.96,48.96,5562432.0
199,49.15,49.2,48.58,48.89,48.89,4603192.0
200,49.05,49.65,48.75,49.53,49.53,4794401.0
202,49.93,50.04,49.6,49.73,49.73,4190406.0
203,49.47,49.71,49.09,49.6,49.6,4340255.0
204,50.11,50.4,49.75,50.2,50.2,3894301.0
205,50.29,50.29,49.78,49.84,49.84,2577610.0
206,49.73,50.08,49.45,49.72,49.72,3335860.0
207,49.77,50.02,49.28,49.69,49.69,3161436.0
208,49.55,49.6,48.69,48.74,48.74,2830966.0
209,48.49,49.05,48.32,48.61,48.61,3430166.0
210,48.77,49.11,48.44,48.79,48.79,2394303.0
211,48.84,49.04,48.3,48.73,48.73,2231266.0
212,48.87,49.08,48.6,48.96,48.96,1966731.0
213,48.85,49.45,48.63,49.33,49.33,1837461.0
214,49.37,49.52,48.6,48.67,48.67,1746931.0
215,48.83,49.05,47.92,48.01,48.01,1473345.0
216,48.09,48.27,46.85,47.13,47.13,2025273.0
217,47.27,47.52,46.47,46.52,46.52,1686711.0
218,46.75,46.87,46.17,46.47,46.47,1683554.0
221,46.65,47.02,46.34,46.52,46.52,1535263.0
222,46.69,47.05,46.53,46.9,46.9,1133365.0
223,46.75,47.04,46.4,47.01,47.01,1044254.0
224,47.03,47.19,46.63,47.05,47.05,1279589.0
225,47.15,47.41,46.69,47.03,47.03,1283335.0
226,47.2,47.31,46.54,47.04,47.04,1267531.0
229,47.3,47.8,46.6,47.62,47.62,1123475.0
230,48.03,48.27,47.4,47.94,47.94,1530667.0
231,48.4,48.47,47.6,48.03,48.03,1338560.0
232,48.25,48.29,47.58,48.01,48.01,1274344.0
233,47.89,48.75,47.4,48.42,48.42,1292406.0
234,48.46,49.05,48.26,48.57,48.57,1610687.0
235,48.57,48.82,47.87,48.75,48.75,1280438.0
236,48.75,49.08,48.15,48.69,48.69,1100198.0
237,48.48,49.5,48.44,49.23,49.23,1731866.0
238,49.14,49.61,48.7,49.37,49.37,1312886.0
239,49.9,50.22,49.28,49.65,49.65,1515163.0
240,49.55,50.03,49.3,49.78,49.78,1133665.0
241,50.05,50.21,49.59,49.7,49.7,934664.0
242,49.45,49.72,49.11,49.28,49.28,977341.0
243,49.07,49.32,48.6,48.82,48.82,1033725.0
244,49.03,49.39,48.6,48.79,48.79,8153238.0
245,48.82,49.04,47.78,48.0,48.79,8153238.0
246,48.39,49.35,48.39,49.06,49.06,6914480.0
247,49.35,49.85,48.6,48.83,48.83,6053940.0
248,48.67,49.02,48.14,48.61,48.61,5340254.0
249,49.13,49.14,48.55,48.84,48.84,3755641.0
250,49.03,49.65,48.6,49.53,49.53,6013980.0
251,49.65,49.75,49.05,49.21,49.21,4094901.0
252,49.05,49.3,48.74,48.77,48.77,3944451.0
253,48.75,49.22,48.1,49.09,49.09,3731664.0
254,49.32,49.43,48.42,49.04,49.04,3134563.0
255,48.6,49.02,47.68,48.4,48.4,3877318.0
256,48.37,48.62,46.83,46.99,46.99,4196398.0
257,46.93,47.92,46.75,47.14,47.14,3631265.0
258,47.44,47.5,46.48,46.81,46.81,2921875.0
259,46.48,46.67,45.45,45.78,45.78,3948048.0
260,45.79,46.34,45.13,46.11,46.11,3644551.0
261,45.8,46.04,44.74,44.87,44.87,2731067.0
262,44.83,45.5,44.29,45.2,45.2,2807380.0
263,45.27,45.34,43.53,43.84,43.84,4570824.0
264,43.48,44.5,43.08,44.43,44.43,5052742.0
265,44.73,45.51,44.19,45.43,45.43,3822373.0
266,45.47,45.77,44.34,44.34,44.34,2655541.0
267,44.58,44.84,43.58,43.77,43.77,3314882.0
268,43.58,43.84,43.04,43.28,43.28,2426770.0
269,43.05,43.42,42.71,43.05,43.05,2167430.0
270,43.4,43.55,42.53,42.98,42.98,2155243.0
271,43.48,44.01,43.33,43.98,43.98,2509288.0
272,44.2,44.7,43.97,44.28,44.28,2019378.0
273,44.46,44.52,43.6,43.74,43.74,1670927.0
274,44.13,44.28,43.84,44.04,44.04,1584713.0
275,44.27,44.39,43.84,44.2,44.2,1418180.0
276,44.28,44.29,43.78,44.03,44.03,1400797.0
277,44.09,44.35,43.85,44.2,44.2,1262736.0
278,44.28,44.33,43.89,44.06,44.06,1133125.0
279,43.78,44.07,43.45,43.82,43.82,1597500.0
280,44.07,44.21,43.64,43.8,43.8,1252546.0
281,43.93,44.6,43.88,44.37,44.37,1250788.0
282,44.7,44.72,44.09,44.28,44.28,1048550.0
283,44.36,44.83,44.31,44.36,44.36,1041557.0
284,44.48,44.5,43.78,43.84,43.84,1046033.0
285,43.87,44.04,43.43,43.8,43.8,1239049.0
286,44.13,44.69,44.09,44.56,44.56,1125573.0
287,44.71,45.23,44.6,45.07,45.07,1265133.0
288,45.3,45.42,44.69,45.03,45.03,1134244.0
289,44.98,45.3,44.73,45.07,45.07,895743.0
290,44.85,44.86,44.27,44.52,44.52,1063115.0
291,44.6,44.8,44.47,44.75,44.75,771327.0
292,44.75,44.76,44.33,44.48,44.48,792306.0
293,44.36,44.63,43.96,44.47,44.47,809179.0
294,44.37,44.82,44.36,44.37,44.37,739369.0
295,44.5,44.66,44.0,44.6,44.6,794964.0
296,44.65,44.65,44.05,44.33,44.33,654924.0
297,44.35,45.15,44.1,45.1,45.1,871368.0
298,44.99,45.76,44.75,45.47,45.47,946652.0
299,45.4,45.71,45.21,45.56,45.56,711268.0
301,45.59,45.67,44.58,44.66,44.66,811308.0
303,44.34,44.83,44.01,44.37,44.37,779449.0
304,44.7,44.78,43.78,44.02,44.02,954344.0
306,44.23,44.38,43.48,43.56,43.56,1072106.0
307,43.57,43.8,43.36,43.42,43.42,824874.0
308,43.42,43.42,42.5,42.63,42.63,954584.0
309,42.7,43.02,42.6,42.75,42.75,810528.0
310,43.03,43.28,42.75,42.97,42.97,804155.0
311,43.18,43.65,43.09,43.51,43.51,10730460.0
312,43.79,44.85,43.44,44.78,44.78,21652724.0
313,44.69,44.83,44.33,44.48,44.48,7942649.0
314,44.56,44.56,43.68,43.84,43.84,8048742.0
315,44.08,44.32,43.78,43.84,43.84,6827165.0
316,43.47,44.03,43.34,43.98,43.98,6631162.0
317,43.91,44.03,43.45,43.78,43.78,5403190.0
318,44.01,44.03,43.64,43.84,43.84,5269526.0
319,43.76,44.23,43.68,44.15,44.15,6084101.0
320,44.14,44.64,44.09,44.4,44.4,6083301.0
321,44.7,45.2,44.4,45.11,45.11,7721072.0
322,45.27,45.35,44.78,45.03,45.03,6741651.0
323,44.86,44.9,44.34,44.34,44.34,6752241.0
324,44.4,44.44,43.79,44.04,44.04,6585507.0
325,44.22,44.7,44.15,44.45,44.45,5247348.0
326,44.6,44.89,44.43,44.78,44.78,5531064.0
327,44.79,45.2,44.79,45.05,45.05,4627568.0
328,44.83,44.84,44.27,44.44,44.44,4338257.0
329,44.39,44.84,44.39,44.5,44.5,3860935.0
330,44.65,44.65,43.82,44.02,44.02,4398297.0
331,43.97,44.46,43.4,43.45,43.45,5212182.0
332,43.4,43.63,42.78,43.01,43.01,5836757.0
333,42.97,43.29,42.65,42.98,42.98,6503290.0
334,43.19,43.65,42.88,43.09,43.09,5239554.0
335,43.47,44.02,43.09,44.02,44.02,5865528.0
336,44.03,44.27,43.64,43.78,43.78,4396698.0
337,43.84,44.08,43.45,44.04,44.04,4543951.0
338,44.25,44.86,44.09,44.8,44.8,4168428.0
339,44.85,45.3,44.61,45.24,45.24,3654941.0
340,45.3,45.63,44.97,45.4,45.4,3793403.0
341,45.53,45.54,44.87,45.09,45.09,3280516.0
342,45.29,45.43,44.67,45.07,45.07,2533164.0
343,45.15,45.76,44.87,45.03,45.03,3009288.0
344,44.99,45.5,44.75,45.26,45.26,2388709.0
345,45.48,45.71,45.13,45.4,45.4,1731666.0
346,45.45,45.52,44.58,44.86,44.86,2092306.0
347,44.67,44.88,44.64,44.72,44.72,1456142.0
348,44.77,44.9,44.19,44.75,44.75,1565233.0
349,44.76,44.83,44.49,44.82,44.82,1320278.0
350,44.8,44.85,44.29,44.44,44.44,1266731.0
351,44.68,44.8,44.19,44.44,44.44,1054354.0
352,44.57,44.72,44.4,44.54,44.54,8680309.0
353,8990000.0,9090000.0,8977000.0,9062000.0,9062000.0,40999965.0
354,9193000.0,9281000.0,9192000.0,9261000.0,9261000.0,4.0
354,9257000.0,9283000.0,9241000.0,9274000.0,9274000.0,2.4
355,9298000.0,9332000.0,9295000.0,9315000.0,9315000.0,2.0
356,9330000.0,9366000.0,9330000.0,9361000.0,9361000.0,1.0
357,9371000.0,9426000.0,9371000.0,9423000.0,9423000.0,1.0
358,9426000.0,9443000.0,9417000.0,9424000.0,9424000.0,1.0
359,9441000.0,9441000.0,9387000.0,9410000.0,9410000.0,1.0
360,9369000.0,9415000.0,9369000.0,9395000.0,9395000.0,1.0
361,9390000.0,9426000.0,9390000.0,9419000.0,9419000.0,1.0
362,9426000.0,9443000.0,9413000.0,9426000.0,9426000.0,1.0
363,9433000.0,9438000.0,9371000.0,9403900.0,9403900.0,1.0
364,9409000.0,9414000.0,9361000.0,9406000.0,9406000.0,1.0
365,9399000.0,9410000.0,9366000.0,9387000.0,9387000.0,1.0
366,9383000.0,9396000.0,9366000.0,9387000.0,9387000.0,1.0
367,9399000.0,9426000.0,9378000.0,9413100.0,9413100.0,1.0
368,9432000.0,9473000.0,9431000.0,9461000.0,9461000.0,1.0
369,9477000.0,9513000.0,9476000.0,9489000.0,9489000.0,1.0
369,9493000.0,9532000.0,9490000.0,9511100.0,9511100.0,1.0
370,9511000.0,9533000.0,9491000.0,9511000.0,9511000.0,1.0
371,9524000.0,9545000.0,9511000.0,9524000.0,9524000.0,1.0
372,9526000.0,9543000.0,9513000.0,9527000.0,9527000.0,1.0
373,9527000.0,9537000.0,9510000.0,9531000.0,9531000.0,1.0
374,9536000.0,9543000.0,9521000.0,9525000.0,9525000.0,1.0
375,9532000.0,9537000.0,9510000.0,9531000.0,9531000.0,1.0
376,9534000.0,9548000.0,9527000.0,9543000.0,9543000.0,1.0
377,9546000.0,9546000.0,9503751.0,9520051.0,9520051.0,2.0
380,9520051.0,9530000.0,9493200.0,9516250.0,9516250.0,1.0
381,9516250.0,9533950.0,9516250.0,9530500.0,9530500.0,1.0
382,9539500.0,9548119.0,9530600.0,9537500.0,9537500.0,1.0
383,9547121.0,9554476.0,9530766.0,9539817.0,9539817.0,1.0
384,9547400.0,9555184.0,9534250.0,9545347.0,9545347.0,1.0
388,9545347.0,9563957.0,9531500.0,9552822.0,9552822.0,1.0
389,9552822.0,9560235.0,9521269.0,9544539.0,9544539.0,1.0
390,9544539.0,9545539.0,9502752.0,9524850.0,9524850.0,1.0
391,9532124.0,9537752.0,9502389.0,9533039.0,9533039.0,1.0
392,9530548.0,9530876.0,9502455.0,9511069.0,9511069.0,1.0
393,9513473.0,9514000.0,9473331.0,9487598.0,9487598.0,1.0
394,9488883.0,9489556.0,9467319.0,9475329.0,9475329.0,1.0
395,9473020.0,9486089.0,9467210.0,9476250.0,9476250.0,1.0
396,9477757.0,9481210.0,9463529.0,9468733.0,9468733.0,1.0
397,9468457.0,9472239.0,9449587.0,9451039.0,9451039.0,1.0
398,9451056.0,9453472.0,9416655.0,9443347.0,9443347.0,1.0
398,9443347.0,9448137.0,9424858.0,9436961.0,9436961.0,1.0
399,9441300.0,9450047.0,9412568.0,9437659.0,9437659.0,1.0
399,9435248.0,9441000.0,9413459.0,9430523.0,9430523.0,1.0
400,9445000.0,9462000.0,9444830.0,9454758.0,9454758.0,1.0
400,9456147.0,9456252.0,9429329.0,9446871.0,9446871.0,1.0
400,9447000.0,9455000.0,9443500.0,9446000.0,9446000.0,1.0
400,9446000.0,9448500.0,9443300.0,9445300.0,9445300.0,1.0
400,9443100.0,9444500.0,9433638.0,9439330.0,9439330.0,1.0
401,9439768.0,9440000.0,9420588.0,9423958.0,9423958.0,1.0
402,9432558.0,9437451.0,9423960.0,9435155.0,9435155.0,1.0
403,9426056.0,9432768.0,9423152.0,9425250.0,9425250.0,1.0
404,9426847.0,9431962.0,9423152.0,9426582.0,9426582.0,1.0
405,9430357.0,9443000.0,9425567.0,9440537.0,9440537.0,1.0
405,9438318.0,9439321.0,9432959.0,9438602.0,9438602.0,1.0
405,9444346.0,9444450.0,9435234.0,9443653.0,9443653.0,1.0
406,9443639.0,9450000.0,9443600.0,9447912.0,9447912.0,1.0
407,9447912.0,9450000.0,9430863.0,9448029.0,9448029.0,1.0
407,9448029.0,9452532.0,9439351.0,9441339.0,9441339.0,1.0
408,9443058.0,9443851.0,9422462.0,9437151.0,9437151.0,1.0
408,9437151.0,9438128.0,9423029.0,9433558.0,9433558.0,1.0
409,9432165.0,9433855.0,9403500.0,9414358.0,9414358.0,1.0
409,9414358.0,9425763.0,9410065.0,9413082.0,9413082.0,1.0
410,9413575.0,9415264.0,9400674.0,9413571.0,9413571.0,1.0
411,9415059.0,9415856.0,9396237.0,9414478.0,9414478.0,1.0
412,9414478.0,9414482.0,9393101.0,9413983.0,9413983.0,1.0
413,9393937.0,9395657.0,9373527.0,9390500.0,9390500.0,2.0
414,9389612.0,9395557.0,9371668.0,9390489.0,9390489.0,1.0
415,9382667.0,9417558.0,9382411.0,9417356.0,9417356.0,1.0
415,9422563.0,9433531.0,9414345.0,9424758.0,9424758.0,1.0
416,9427359.0,9432057.0,9417829.0,9424758.0,9424758.0,1.0
416,9430971.0,9441000.0,9420364.0,9429127.0,9429127.0,1.0
417,9429127.0,9430269.0,9406184.0,9416628.0,9416628.0,1.0
418,9416754.0,9421163.0,9403378.0,9414457.0,9414457.0,1.0
418,9415149.0,9426764.0,9404558.0,9416971.0,9416971.0,1.0
419,9426354.0,9431161.0,9410167.0,9418558.0,9418558.0,1.0
419,9401934.0,9416358.0,9391101.0,9410174.0,9410174.0,1.0
419,9402778.0,9410383.0,9390656.0,9401474.0,9401474.0,1.0
420,9416656.0,9418750.0,9402750.0,9407251.0,9407251.0,1.0
420,9407251.0,9421159.0,9401137.0,9416761.0,9416761.0,1.0
420,9420074.0,9436557.0,9415038.0,9426851.0,9426851.0,1.0
421,9437367.0,9441400.0,9423563.0,9436751.0,9436751.0,1.0
422,9438453.0,9441935.0,9425364.0,9436347.0,9436347.0,1.0
423,9444134.0,9444434.0,9431769.0,9435276.0,9435276.0,1.0
424,9439158.0,9441000.0,9427356.0,9436660.0,9436660.0,1.0
425,9444300.0,9444600.0,9437159.0,9444329.0,9444329.0,1.0
426,9445400.0,9452299.0,9436756.0,9447927.0,9447927.0,1.0
427,9443458.0,9448991.0,9443358.0,9443358.0,9443358.0,1.0
428,9443500.0,9450046.0,9433977.0,9447129.0,9447129.0,1.0
429,9447676.0,9452261.0,9441754.0,9446374.0,9446374.0,1.0
430,9444529.0,9451480.0,9443552.0,9445783.0,9445783.0,1.0
430,9446551.0,9448148.0,9443959.0,9444730.0,9444730.0,1.0
430,9444459.0,9446394.0,9435000.0,9441000.0,9441000.0,1.0
431,9441500.0,9441500.0,9406250.0,9430545.0,9430545.0,1.0
431,9441000.0,9441000.0,9421265.0,9425698.0,9425698.0,1.0
432,9435251.0,9440178.0,9430864.0,9439991.0,9439991.0,1.0
433,9434559.0,9446938.0,9434559.0,9444415.0,9444415.0,1.0
433,9447000.0,9447000.0,9435500.0,9441600.0,9441600.0,1.0
434,9448000.0,9448000.0,9439150.0,9441690.0,9441690.0,1.0
434,9448000.0,9448000.0,9437400.0,9444100.0,9444100.0,1.0
434,9441500.0,9443000.0,9439100.0,9442600.0,9442600.0,1.0
435,9443800.0,9450000.0,9438800.0,9448000.0,9448000.0,1.0
435,9442100.0,9442700.0,9421747.0,9436957.0,9436957.0,1.0
435,9432000.0,9437958.0,9410169.0,9436187.0,9436187.0,1.0
436,9436500.0,9436600.0,9412149.0,9421774.0,9421774.0,1.0
437,9418400.0,9425563.0,9404500.0,9414582.0,9414582.0,1.0
438,9415000.0,9415000.0,9393000.0,9408000.0,9408000.0,1.0
440,9425500.0,9430978.0,9405000.0,9426322.0,9426322.0,1.0
441,9430450.0,9460835.0,9413000.0,9460719.0,9460719.0,1.0
441,9463000.0,9478320.0,9452500.0,9466235.0,9466235.0,1.0
441,9466000.0,9466000.0,9434100.0,9447330.0,9447330.0,1.0
441,9446000.0,9477399.0,9445300.0,9456637.0,9456637.0,1.0
442,9475916.0,9482780.0,9461500.0,9469529.0,9469529.0,1.0
443,9466130.0,9472628.0,9452222.0,9466038.0,9466038.0,1.0
444,9467200.0,9467200.0,9431500.0,9448330.0,9448330.0,1.0
446,9465700.0,9490600.0,9462000.0,9483100.0,9483100.0,1.0
447,9483100.0,9494899.0,9473399.0,9477119.0,9477119.0,1.0
448,9477737.0,9484473.0,9463748.0,9472128.0,9472128.0,1.0
448,9472128.0,9477396.0,9461929.0,9464639.0,9464639.0,1.0
449,9454230.0,9466139.0,9448539.0,9453036.0,9453036.0,1.0
449,9466224.0,9485487.0,9458327.0,9481100.0,9481100.0,1.0
450,9481100.0,9487499.0,9461500.0,9471625.0,9471625.0,1.0
453,9476329.0,9503457.0,9476023.0,9498192.0,9498192.0,1.0
454,9520169.0,9534150.0,9508473.0,9530359.0,9530359.0,1.0
455,9531000.0,9531000.0,9502450.0,9514668.0,9514668.0,1.0
456,9497599.0,9512448.0,9484522.0,9491700.0,9491700.0,1.0
457,9491700.0,9496600.0,9463300.0,9472829.0,9472829.0,1.0
457,9484740.0,9492398.0,9468529.0,9474329.0,9474329.0,1.0
458,9481298.0,9481298.0,9434262.0,9461531.0,9461531.0,1.0
461,9461930.0,9462100.0,9416569.0,9460029.0,9460029.0,1.0
462,9447347.0,9455750.0,9439500.0,9440638.0,9440638.0,1.0
463,9443659.0,9452762.0,9422069.0,9435550.0,9435550.0,1.0
463,9444047.0,9460892.0,9443671.0,9453329.0,9453329.0,1.0
464,9453747.0,9458524.0,9434168.0,9441339.0,9441339.0,1.0
465,9443857.0,9460834.0,9439329.0,9458128.0,9458128.0,1.0
466,9458518.0,9459997.0,9430168.0,9443747.0,9443747.0,1.0
466,9444300.0,9444300.0,9428269.0,9439322.0,9439322.0,1.0
467,9443549.0,9444930.0,9434168.0,9443909.0,9443909.0,1.0
467,9443909.0,9444821.0,9433959.0,9436168.0,9436168.0,1.0
468,9444000.0,9444000.0,9422268.0,9433829.0,9433829.0,1.0
469,9436500.0,9437500.0,9421569.0,9426322.0,9426322.0,1.0
469,9426322.0,9432100.0,9423959.0,9425338.0,9425338.0,1.0
470,9432264.0,9432300.0,9405500.0,9427346.0,9427346.0,1.0
473,9439150.0,9452372.0,9439149.0,9452152.0,9452152.0,1.0
474,9452152.0,9460058.0,9444537.0,9450272.0,9450272.0,1.0
475,9457294.0,9460835.0,9441058.0,9454828.0,9454828.0,1.0
476,9463529.0,9472239.0,9460656.0,9464634.0,9464634.0,1.0
477,9467029.0,9467329.0,9430000.0,9448530.0,9448530.0,1.0
477,9452549.0,9453551.0,9432165.0,9443950.0,9443950.0,1.0
478,9444347.0,9445444.0,9425557.0,9435001.0,9435001.0,1.0
479,9445000.0,9445000.0,9423758.0,9433343.0,9433343.0,1.0
479,9433343.0,9456534.0,9431500.0,9451634.0,9451634.0,1.0
480,9451947.0,9455046.0,9430959.0,9447338.0,9447338.0,1.0
480,9443650.0,9467399.0,9443650.0,9458110.0,9458110.0,1.0
481,9465357.0,9479621.0,9462028.0,9467516.0,9467516.0,1.0
482,9473830.0,9476118.0,9435663.0,9462539.0,9462539.0,1.0
482,9455148.0,9461128.0,9447829.0,9454515.0,9454515.0,1.0
482,9454347.0,9454350.0,9421067.0,9433319.0,9433319.0,1.0
483,9441600.0,9441800.0,9421158.0,9433838.0,9433838.0,1.0
483,9443500.0,9462299.0,9433959.0,9450348.0,9450348.0,1.0
484,9465029.0,9465029.0,9403968.0,9422362.0,9422362.0,1.0
485,9433.0,9442100.0,9412100.0,9423999.0,9422362.0,1.0
486,9423999.0,9444000.0,9423999.0,9438999.0,9438999.0,1.0
486,9433359.0,9456531.0,9421068.0,9447528.0,9447528.0,1.0
487,9444147.0,9444152.0,9422984.0,9430961.0,9430961.0,1.0
488,9431361.0,9436327.0,9404576.0,9421757.0,9421757.0,1.0
489,9428416.0,9436756.0,9419353.0,9432163.0,9432163.0,1.0
490,9431667.0,9432699.0,9400179.0,9430769.0,9430769.0,1.0
490,9430880.0,9445000.0,9421769.0,9443347.0,9443347.0,1.0
491,9436765.0,9443358.0,9435556.0,9437855.0,9437855.0,1.0
491,9438557.0,9443775.0,9434867.0,9437683.0,9437683.0,1.0
492,9437577.0,9438500.0,9425538.0,9437298.0,9437298.0,1.0
492,9437357.0,9437375.0,9421462.0,9422751.0,9422751.0,1.0
493,9430366.0,9440000.0,9416757.0,9429329.0,9429329.0,1.0
496,9437309.0,9442000.0,9427306.0,9436737.0,9436737.0,1.0
497,9433566.0,9436165.0,9416454.0,9425053.0,9425053.0,1.0
498,9425053.0,9430059.0,9406368.0,9420768.0,9420768.0,1.0
498,9420134.0,9436357.0,9417339.0,9424927.0,9424927.0,1.0
498,9443339.0,9461557.0,9439961.0,9459930.0,9459930.0,2.0
500,9464330.0,9473035.0,9453030.0,9465438.0,9465438.0,1.0
500,9468030.0,9468030.0,9431865.0,9448637.0,9448637.0,1.0
